STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_resid,Country of residence,terrtypo,Territorial typology,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2018,,1610265,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2019,,1913448,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2020,,1091836,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2021,,2381810,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2022,,2723732,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2023,,4158964,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AL,Albania,2024,,5008594,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2012,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2013,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2014,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2015,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2016,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2017,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2018,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2019,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2020,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2021,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2022,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2023,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,AT,Austria,2024,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,BE,Belgium,2012,,6607348,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,BE,Belgium,2013,,6612208,,,,,
